uhhidfs,uhhidp,s1,s2,s3,s4,s5,s6,s7,s8
2077,2000587,1,2,2,3,3,None,2,2
2078,2000449,2,2,3,3,3,None,3,2
2079,2000452,2,2,3,3,3,None,2,2
2080,2000451,2,2,3,3,3,None,2,2
2081,2000486,2,2,3,3,3,None,2,2
2082,3002665,2,2,2,2,3,999,2,2
2083,3001184,2,2,2,2,2,999,2,2
2084,3001230,2,2,2,2,2,999,2,2
2085,3001186,1,1,1,2,2,999,2,1
2086,3002749,2,2,2,2,2,999,2,2
2087,3002132,2,2,2,2,2,999,2,1
2088,3002130,2,2,2,2,2,999,2,1
2089,3002131,2,2,2,2,2,999,2,1
2090,3000577,2,2,2,2,2,999,2,2
2091,3001727,2,2,3,4,3,999,3,1
2092,3002023,1,2,2,2,3,999,2,1
2093,3002021,1,2,2,3,4,999,3,2
2094,3002020,1,2,2,1,1,999,1,1
2095,3002016,1,2,3,3,4,I don't always meet them and do not know the majority,3,1
2096,3002014,1,2,3,4,4,Language difficulties,3,1
2097,3002136,2,1,1,3,1,999,2,1
2098,3002133,999,1,1,1,2,O,2,2
2099,3002135,1,1,1,2,1,999,2,2
2100,3002134,2,1,1,2,1,999,1,1
2101,3002709,998,3,3,3,4,"I don't know them,language problem",3,2
2102,3000239,1,2,1,2,2,Often,2,2
2103,1000998,1,1,2,2,1,Very often,1,1
2104,1001854,1,2,1,2,1,Very often,1,1
2105,1000999,1,2,2,3,3,Occasionally,1,1
2106,1000997,1,1,2,3,2,Often,1,1
2107,3000242,1,1,2,2,1,Very often,2,1
2108,3000240,1,2,1,2,2,Often,1,1
2109,3000238,1,1,2,2,3,Occasionally,1,1
2110,3000244,1,1,2,2,2,Often,2,2
2111,3000127,1,1,2,2,2,Often,1,1
2112,3000128,1,1,2,2,1,Very often,1,1
2113,3000118,1,2,2,2,2,Often,1,3
2114,3000117,1,2,1,2,3,Occasionally,1,1
2115,2000239,2,2,2,2,2,999,2,2
2116,2000240,2,2,2,2,2,999,2,2
2117,2000025,2,2,2,2,2,999,2,2
2118,2000021,2,2,2,2,2,999,2,2
2119,2000023,1,1,1,1,1,999,2,2
2120,3000467,1,1,1,2,2,None,1,1
2121,2000105,1,1,1,2,1,999,2,2
2122,2000107,3,2,2,2,2,999,2,2
2123,2000008,3,2,2,4,1,999,3,2
2124,2000010,2,2,2,2,1,999,2,2
2125,2000545,2,1,3,1,1,None,2,1
2126,4002126,3,3,3,2,2,999,2,2
2127,4002127,2,2,2,2,2,999,3,2
2128,4002128,2,2,2,2,2,999,2,2
2129,4002129,4,4,4,3,3,999,3,3
2130,4002130,3,4,3,3,3,999,3,3
2131,4002131,3,2,2,2,2,999,2,2
2132,4002132,3,3,3,3,2,999,2,2
2133,1000713,1,1,1,1,3,999,2,1
2134,1003010,3,2,1,3,3,Not applicable,4,1
2135,1003008,998,3,1,1,2,Not applicable,3,1
2136,1000701,1,2,1,1,2,Not applicable,1,1
2137,1000702,1,1,1,3,1,Not applicable,1,1
2138,1000700,1,1,1,2,2,999,1,1
2139,1000712,1,2,1,3,2,999,3,1
2140,1000687,998,3,2,5,2,999,3,1
2141,1000393,2,2,1,3,1,999,3,1
