uhhidfs,uhhidp,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_13,d1_14,d1_8,d1_9,d1_10,d1_11,d1_12,d2,d2other,d3,d3other,d4,d4other,d5,d6
421,1002583,1,1,0.2,999,0.5,1,0.5,0.5,999,2,999,0.5,0.1,0.2,1,NA,4,NA,4,NA,1,2
707,1002600,100,5,2,7,3,0.5,0.2,3,999,4,4,3,0.2,0.3,1,NA,4,NA,2,NA,0.5,4
294,1002404,0.25,0.5,1,2,2,1,1,2,2,2,2,1,0.5,2,1,NA,13,Private tap,4,NA,0.001,7
1072,1002592,1,2,0.5,4,4,1,0.5,3,999,999,999,0.5,1,1,2,NA,4,NA,3,NA,0.5,1
175,1002402,0.001,1,1,2,2,1.5,0.5,0.5,999,2,2,2,2,0.5,5,NA,2,NA,3,NA,40,4
1329,1000716,1,1.5,0.5,2,1.5,0.5,0.5,3,999,999,999,2,2,0.5,1,NA,3,NA,4,NA,4,4
3271,1001876,0.5,2,3,5,2.5,1,1,2,999,4.5,5,2,2,1.5,5,NA,2,NA,4,NA,30,2
1097,1002665,0.5,2,2,2,1,0.5,0.5,0.5,999,2,999,0.5,0.5,0.1,5,NA,4,NA,3,NA,1,4
1170,1000799,1,3,1,4,3,1,3,3,999,3,3,1,2,1,2,NA,4,NA,1,NA,90,6
593,1002668,1,3,2,3,1,1,1,2,999,2,2,2,0.3,2,1,NA,4,NA,12,NA,30,4
2843,1000322,0.5,7,2,1.5,3,2,1,999,999,4,4,2,0.2,1,1,NA,4,NA,6,NA,30,2
1161,1001893,2,4,1,2,0.5,0.2,0.5,2,999,999,999,2,0.5,1,5,NA,4,NA,4,NA,15,6
2357,1001759,0.25,1.5,2,4,3,0.25,0.25,0.25,999,4,4,0.25,0.25,0.03,1,NA,4,NA,2,NA,30,4
1075,1002595,0.5,2,0.5,4,3,0.5,0.5,3,999,999,999,0.5,0.5,0.5,5,NA,4,NA,2,NA,6,1
592,1002678,0.5,3,0.4,2,3,0.3,1,2,999,2,2,1,0.7,2,1,NA,4,NA,13,Tap,38,4
3299,1001952,1.5,3,2,3,1,0.5,0.5,0.5,999,3,999,0.5,0.5,1,7,NA,4,NA,4,NA,10,2
2661,1001329,1.5,2,2,3,2.5,1,0.5,1,999,2.5,3,1,1.5,0.5,5,NA,4,NA,10,NA,30,1
922,1002521,1.5,2,2,3,2,1.5,1.5,1.5,999,2,2,2,1,1.5,5,NA,4,NA,12,NA,60,7
2660,1001661,2,2.5,3,4,3,1,1.5,1.5,999,3.5,4,2,2,1,5,NA,4,NA,4,NA,50,2
323,1002355,2,2,2.5,4,1.5,3,0.125,3,999,3,3,3,3,1,5,NA,2,NA,4,NA,8,1
408,1002373,1,5,1,5,2,2,1,5,999,999,999,1,2,1,1,NA,4,NA,12,NA,60,4
989,1000146,0.5,1,1,1,2,0.5,1,999,999,999,999,1,0.5,0.5,2,NA,4,NA,2,NA,60,5
1683,1000715,1,3,3,3,3,2,3,3,999,3,3,3,3,1,5,NA,4,NA,4,NA,180,2
3588,1000831,2,1.5,1.7,4.5,2,0.002,0.02,0.02,999,999,999,0.02,0.02,0.1,7,NA,4,NA,12,NA,0.1,2
3393,1001205,0.25,1.5,2,4,2.5,1,0.5,0.5,999,3.5,4,0.5,0.5,0.5,5,NA,2,NA,4,NA,20,3
1078,1001608,0.5,2,0.5,3,3,0.5,0.5,3,999,999,999,1,1,0.5,1,NA,2,NA,4,NA,10,4
2462,1001178,1,1.5,1.2,3,2,0.3,1.6,999,999,3,3,2,0.8,1,2,NA,2,NA,4,NA,38,2
2511,1000699,1,3,2,3,3,0.5,3,3,999,3,3,2,1.5,1,1,NA,4,NA,1,NA,60,6
1471,1000176,2,1.5,1.5,2,0.5,0.1,1,1,999,2,999,1,0.5,1,1,NA,4,NA,3,NA,5,4
2510,1000698,0.5,3,2,3,3,1,3,3,999,3,3,2,2,0.5,2,NA,4,NA,4,NA,120,6
2503,1001194,2,2,2,3.5,1,0.5,0.5,0.5,999,2,999,0.5,0.5,0.5,8,NA,4,NA,2,NA,10,4
3270,1001954,2,2.5,2,4.5,2.5,1.5,1.5,2,999,3.5,5,2,2,1.5,5,NA,2,NA,4,NA,50,7
1685,1000800,1,2,2,2,2,1,2,2,999,3,3,2,0.5,1,5,NA,4,NA,4,NA,180,5
2035,1001528,1,2,2,3,3,0.5,0.5,1,999,999,999,1,1,0.5,5,NA,2,NA,4,NA,60,4
3269,1001204,0.5,1.5,2.5,4,3,1,0.5,0.5,999,3,4,0.5,0.5,1,5,NA,2,NA,4,NA,45,4
3284,1001576,0.5,1,0.5,1.5,1.5,0.5,3,3,999,1.5,1.5,0.5,0.5,1,1,NA,1,NA,4,NA,10,6
1680,1000756,0.6,3,2,2,2,0.5,2,2,999,3,3,0.5,1,1,1,NA,4,NA,1,NA,180,6
1172,1001969,4,5,3,6,3.5,3,1,1,999,2,6,1,1,3,5,NA,2,NA,10,NA,20,7
2032,1001617,0.5,1,1.5,4,3,1,0.5,3,999,999,999,0.5,3,0.5,1,NA,2,NA,4,NA,60,4
295,1002358,3,3,1,5,2,0.5,2,2,2,3,5,2.5,2.5,1,5,NA,2,NA,4,NA,1,7
1166,1000763,0.9,3,3,3,5,3,3,3,999,3,999,3,3,0.5,7,NA,4,NA,9,NA,90,6
176,1002405,0.5,0.25,1,2,1,1,1,1,999,2,2,2,0.25,0.5,5,NA,4,NA,3,NA,30,4
1165,1002620,1,3,2,3,1,1,1,1,999,3,3,2,0.3,0.7,1,NA,1,NA,4,NA,5,7
183,1001995,3,7,5,20,5,2,1,6,20,5,5,5,7,5,1,NA,4,NA,4,NA,60,4
1162,1002347,1,2,1,1,3,1,1,2,999,999,999,1.5,1,1,1,NA,4,NA,6,NA,30,6
705,1002612,0.5,5,2,7,3,0.5,0.2,3,999,4,4,3,0.2,0.3,1,NA,4,NA,2,NA,0.5,3
319,1002288,0.5,1,0.6,3,1,0.2,0.2,1,999,1,14,0.5,1,1,1,NA,3,NA,4,NA,3,6
3754,1000931,3,8,3,999,8,3,3,3,3,999,999,3,3,999,5,NA,4,NA,4,NA,3,4
1099,1002638,0.3,2,2,2,0.5,0.5,0.5,0.5,999,2,999,0.5,0.2,0.5,1,NA,1,NA,12,NA,1,4
1679,1000318,1,1.5,2.5,4,2,0.5,1,1,999,3.5,4,1,1,0.25,5,NA,4,NA,12,NA,20,4
1676,1001347,1.5,2,2.5,4,2.5,1.5,1.5,1.5,999,4,4,1.5,1.5,0.25,1,NA,2,NA,2,NA,20,3
1684,1000722,0.5,3,3,3,3,2,3,3,999,3,3,3,3,1,1,NA,1,NA,1,NA,5,7
1673,1000297,0.2,0.5,0.4,8,0.5,0.3,0.7,5,999,2.5,8,0.7,0.7,0.5,5,NA,4,NA,2,NA,0.2,3
472,1002399,0.9,1,0.3,0.7,3,1,0.4,0.4,999,4,4,0.4,0.7,0.1,2,NA,4,NA,1,NA,10,6
1167,1000755,0.2,1,0.5,2,2,0.5,3,3,999,3,3,2,3,0.3,5,NA,4,NA,1,NA,30,6
3296,1000288,0.5,2,2,3,1,0.5,0.5,0.5,999,3,999,1,1,1.5,2,NA,4,NA,4,NA,40,4
2581,1001613,0.1,1,0.5,2,3,0.5,2,2,999,3,3,1,1,1,2,NA,1,NA,4,NA,9,6
321,1002510,0.5,4,1,3,1,0.2,0.5,4,999,2,3,2,0.5,1,3,NA,4,NA,4,NA,20,4
425,1002609,0.3,1,1,0.5,0.4,1,0.3,0.4,999,1,1,1,0.5,1,1,NA,4,NA,4,NA,30,2
2829,1000334,1,1.5,2,3,0.5,0.5,0.5,1,999,999,999,0.5,1,0.5,8,NA,4,NA,2,NA,20,1
2051,1001117,2,0.5,999,4,2,0.2,2,999,999,999,999,2,0.1,0.1,5,NA,4,NA,4,NA,10,4
3396,1000135,1,2.8,1.5,3,0.4,0.8,0.8,999,999,2,4,1,0.3,1.5,5,NA,4,NA,4,NA,58,4
1682,1001192,2,3,3,3,3,2,3,3,999,3,3,3,3,2,2,NA,4,NA,4,NA,180,7
2504,1001331,2,3,2,3,4,0.5,0.5,1,999,999,999,2,2,1.5,5,NA,4,NA,2,NA,55,4
708,1002614,0.5,5,2,7,3,5,0.2,3,999,4,4,3,0.2,0.3,1,NA,4,NA,4,NA,0.1,4
1169,1000764,0.5,3,1,4,3,1,3,3,999,3,3,1,3,0.5,8,NA,4,NA,4,NA,30,2
198,1002410,0.5,4,1,4,4,1,2,2,3,3,3,4,0.4,2,8,NA,2,NA,4,NA,0.1,5
1101,1002581,0.2,3,2,2,0.5,0.5,0.2,0.2,999,2,999,0.5,0.3,0.5,1,NA,4,NA,4,NA,10,2
1100,1002636,0.5,2,2,2,0.5,0.5,0.5,0.5,999,2,999,0.5,0.2,0.2,1,NA,11,NA,4,NA,6,3
80,1001923,2,1,1,1,1,2,3,4,4,5,3,1,5,4,1,NA,4,NA,4,NA,10,4
3924,1000757,1,2,1.5,4,4,0.5,0.5,3,999,999,999,1,1,1,1,NA,2,NA,5,NA,30,4
424,1002591,1.5,3,0.5,3,1.5,1.5,0.5,0.5,999,2,1.5,0.3,0.5,2,5,NA,4,NA,3,NA,35,3
1098,1002666,0.5,2,2,2,0.5,0.5,0.5,0.5,999,2,999,0.5,0.1,0.2,1,NA,4,NA,4,NA,5,2
409,1002372,3,5,3,999,5,10,2,5,999,10,10,2,4,2,1,NA,4,NA,9,NA,5,3
2034,1001660,0.5,1,1.5,3,3,1,0.5,2,999,999,999,0.5,0.5,0.5,1,NA,2,NA,4,NA,50,4
1330,1000489,1,1.5,2,4,2.5,1,0.5,2,999,4,4,1,2,0.25,1,NA,12,NA,12,NA,1,4
2356,1001770,0.5,1,1.5,3.5,2.5,1,0.5,0.5,999,3.5,3.5,0.5,2,3.5,5,NA,4,NA,2,NA,40,4
2039,1000316,1,0.5,999,1,0.5,0.4,1,999,999,999,999,1,0.2,0.5,2,NA,2,NA,4,NA,2,2
2048,1001512,1,2,1,3,3,0.4,3,3,999,3,3,0.5,0.5,2,8,NA,4,NA,4,NA,180,5
2355,1001760,0.5,1.5,2,4,3,1.5,1,1,999,2,4,1,2.5,0.5,5,NA,4,NA,12,NA,40,4
3294,1000333,0.5,2,2,2,0.5,0.5,0.5,0.5,999,2,999,0.5,0.5,0.5,1,NA,4,NA,4,NA,10,4
3577,1001116,2,1.5,2,10,2,0.5,1,1,3,2,2,3,1,0.5,1,NA,4,NA,4,NA,30,5
2464,1000870,0.5,1.6,1.5,2,2,0.8,0.5,0.7,999,2,999,0.5,0.5,2,1,NA,4,NA,4,NA,20,4
2506,1001603,2,2.5,2,3,3,0.5,0.5,1,999,999,999,0.5,0.5,0.5,5,NA,2,NA,4,NA,30,4
2514,1001871,1,0.5,0.5,2,2,0.5,3,3,999,2,2,1,0.3,2,5,NA,1,NA,2,NA,20,6
324,1002509,4,4,2,5.5,6,1,3.5,3.5,999,5.5,5.5,5.5,5.5,3,1,NA,4,NA,2,NA,30,4
423,1002617,1,0.5,0.4,3,0.5,0.1,0.2,0.2,999,999,0.3,0.5,0.3,0.3,2,NA,4,NA,2,NA,35,6
2507,1001605,2,3,1,4,4,2,0.5,0.5,999,999,999,0.5,0.5,0.5,8,NA,2,NA,4,NA,40,4
2509,1001195,2,3,3,4,4,0.5,0.5,2,999,999,999,1.5,1.5,1,8,NA,2,NA,4,NA,60,4
2828,1000275,1,1.5,2,3,0.5,0.5,0.5,0.5,999,999,999,0.5,1,0.5,8,NA,4,NA,2,NA,15,4
1171,1000718,1.5,3,2,3,3,1,3,3,999,3,5,0.5,2,1,5,NA,4,NA,1,NA,30,6
2827,1000324,1,2,1.5,3,0.5,0.5,0.5,0.5,999,999,999,0.5,1,0.5,8,NA,4,NA,6,NA,20,4
3295,1000145,0.5,2,2,2,0.5,0.5,0.5,0.5,999,2,999,0.5,0.5,0.5,5,NA,4,NA,4,NA,10,2
1164,1002630,0.5,1,1,6,1,0.5,0.5,0.5,999,6,6,1,0.5,0.5,1,NA,4,NA,4,NA,60,1
197,1002285,0.5,4,1,4,4,1,3,1,3,4,3,4,1,2,1,NA,4,NA,6,NA,120,6
1168,1000754,1,3,1,4,2,1,3,3,999,3,3,0.9,3,0.5,1,NA,4,NA,1,NA,60,6
1077,1001436,0.5,2,1,3,3,0.5,0.5,2,999,999,999,1,1,0.5,8,NA,2,NA,4,NA,20,4
2045,1001085,2,1,1,3.5,2,1,1,999,999,2,2,1,1,1,5,NA,2,NA,4,NA,20,4
2049,1001438,0.5,0.5,1,1.5,1.5,0.5,2,2,999,2,2,1,2,0.5,1,NA,4,NA,4,NA,60,6
407,1002374,1,2,5,10,4,3,1,5,999,5,5,1,5,2,1,NA,4,NA,1,NA,4,4
1102,1001499,0.5,1,2,3,0.5,0.5,0.5,0.5,999,2,999,0.5,0.5,0.5,1,NA,2,NA,4,NA,4,4
2840,1001774,0.5,4,999,3,6,0.5,4,999,999,999,999,4,0.5,4,3,NA,4,NA,4,NA,15,6
2033,1001761,0.5,1,2,4,3,1.5,0.5,3,999,999,999,0.5,3,0.5,1,NA,2,NA,4,NA,60,4
2050,1000086,2,0.5,999,4,2,0.3,999,999,999,999,999,0.5,1,0.5,5,NA,2,NA,4,NA,30,4
3087,1002391,0.5,1,0.3,3,3,0.5,2,2,999,3,3,0.5,2,0.5,2,NA,3,NA,2,NA,10,6
2841,1000359,1,4,999,2,1,1,0.5,1,999,4,4,1,0.5,1.5,1,NA,4,NA,4,NA,30,2
470,1002485,1,2.5,0.2,1,3,0.5,0.6,3,999,3,3,0.3,0.4,0.3,5,NA,4,NA,1,NA,60,7
2041,1000363,1.5,2,999,3,4,0.1,3,999,999,999,999,3,0.2,3,3,NA,2,NA,4,NA,2,4
3368,1000435,3,3,1,4,2,0.5,0.5,4,999,999,999,0.5,1,1.5,8,NA,4,NA,2,NA,10,4
2508,1001604,1.5,2,3,4,4,0.5,0.5,1,999,999,999,0.5,0.5,0.5,8,NA,2,NA,4,NA,40,4
2505,1001606,2,2.5,2,4,3,1,1,3,999,999,999,1,1,0.5,5,NA,4,NA,2,NA,20,4
1470,1000177,0.5,2,2,2,0.5,0.1,2,2,999,2,999,2,0.5,0.5,1,NA,4,NA,2,NA,5,2
2499,1001521,2,3,2,3.5,2,0.5,0.5,0.5,999,2,999,0.5,1.5,1,5,NA,4,NA,2,NA,30,4
2494,1001618,0.2,0.5,2,2,0.5,0.1,0.3,0.3,999,2,999,0.3,0.5,0.5,1,NA,2,NA,10,NA,7,4
576,1002354,1.5,2,0.4,12,2,1,1,1,999,3,12,3,3,1,5,NA,4,NA,2,NA,30,4
2043,1001180,1.5,1,1,4,2,1,1,999,999,2,2,2,0.5,0.5,5,NA,2,NA,4,NA,20,6
577,1002661,0.3,0.5,0.5,3,1,0.1,0.3,0.3,999,1,1,0.1,0.1,0.15,5,NA,3,NA,2,NA,30,4
471,1002487,0.3,1,0.5,1,1,0.5,0.6,0.6,999,4,4,0.4,0.5,0.6,5,NA,4,NA,1,NA,60,6
2497,1001620,0.5,1,1.5,3,1.5,0.5,0.5,0.5,999,2,999,0.5,0.5,0.5,1,NA,2,NA,2,NA,10,4
87,1002237,0.25,1,0.5,1.5,1,1.5,0.5,0.5,999,3,999,1.5,0.25,0.25,1,NA,2,NA,6,NA,10,4
2463,1001328,0.8,1,2,3,3,0.5,1,1,999,2,3,1,1,2,2,NA,4,NA,4,NA,55,6
2465,1002083,0.5,4,0.4,3,3,1.5,1,999,999,3.5,3.5,1.6,0.4,2.5,2,NA,2,NA,13,Buying Water,25,2
3280,1001883,0.5,3,3,4,3.5,3,4,4,999,3.5,3.5,2,3,1,5,NA,2,NA,4,NA,10,9
1159,1002059,2,4,2,4,4,2,2,4,5,20,15,5,2,2,3,NA,4,NA,6,NA,60,4
200,1002407,0.5,4,1,4,4,1,2,3,3,3,3,4,3,2,1,NA,2,NA,4,NA,120,3
1365,1000143,1.5,2,2,3,1.5,0.3,1,1,999,2,3,1,0.3,1.5,8,NA,4,NA,4,NA,40,4
2500,1001181,2,2,2,4,1,1,1,1,999,2,999,1.5,1,1,1,NA,2,NA,4,NA,3,4
2498,1001196,0.5,2,2,3.5,0.5,0.1,0.5,0.5,999,2,999,0.5,0.5,0.5,5,NA,4,NA,2,NA,15,4
1469,1000151,1.5,2,1.5,2,0.5,0.2,1,1,999,2,999,1,0.5,0.5,1,NA,3,NA,2,NA,2,4
1331,1000150,0.5,1,3,5,3,0.5,0.5,2,999,3,3,1.5,1.5,0.5,1,NA,2,NA,12,NA,18,4
2513,1001622,1,2,2,2,3.5,0.5,1.5,1.5,999,3.5,3.5,1,1.5,1,2,NA,1,NA,1,NA,5,2
3397,1000426,1,3,2,4,4,1.2,2,999,999,3,3,1,0.6,2.5,2,NA,4,NA,4,NA,50,7
709,1002611,0.2,0.5,0.4,2,1,0.2,1,1,999,3,3,1,1,0.2,2,NA,1,NA,3,NA,20,2
3927,1000425,1,2,2,3,0.5,0.5,0.5,0.5,999,3,999,0.5,0.5,0.5,1,NA,4,NA,4,NA,10,4
987,1000302,1,1.5,1,1,2,0.2,1,999,999,999,999,1,1,1,2,NA,2,NA,4,NA,2,2
2046,1000175,3,1,0.5,3,2,0.5,3,3,999,3,3,1,0.4,3,5,NA,1,NA,4,NA,90,2
3391,1000170,1.5,2,2,4,0.5,1,1.5,1.5,999,3,4,1,1,1,5,NA,4,NA,2,NA,60,4
417,1002590,0.5,3,0.5,3,2,0.5,0.5,0.5,3,3,999,0.5,0.5,0.25,1,NA,4,NA,4,NA,3,4
3513,1000362,3,4,1,3.5,2,0.2,3,999,999,4,4,2,0.8,3,2,NA,4,NA,4,NA,60,7
2502,1001182,2,3,2,3,1.5,0.5,1,1,999,2,999,1,1,0.5,2,NA,2,NA,4,NA,15,4
1160,1002058,2,5,4,4.2,4.2,1,2,4,5,20,15,4,2,2,3,NA,4,NA,6,NA,30,7
3392,1001765,2.5,3,3.5,5,2,1.5,1.5,2,999,3,5,2,2,1.5,5,NA,4,NA,12,NA,30,7
2031,1001872,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2,999,999,999,0.5,1,1,5,NA,2,NA,4,NA,20,4
2042,1000295,0.5,2,999,2,3,0.5,1,999,999,999,999,1.5,0.2,2,4,NA,2,NA,9,NA,2,4
81,1001924,1,1,1,5,4,2,2,3,3,4,4,3,4,7,1,NA,4,NA,2,NA,2,6
3926,1002022,1.5,2,1.5,4,1.5,1,2,2,999,3,3,2,2,1,1,NA,2,NA,4,NA,20,6
1681,1000790,2,3,3,3,3,2,3,3,999,4,4,1,3,3,1,NA,4,NA,1,NA,60,2
3398,1002604,1.5,3,2,3.5,4,0.2,2,999,999,3,3,1,1,2,5,NA,2,NA,4,NA,68,4
261,1002664,0.1,5,4,2,3,1,0.5,0.5,2,2,999,0.5,0.1,0.1,1,NA,4,NA,4,NA,60,2
1472,1000313,2,1.5,1.5,2,1,0.2,1,1,999,2,999,1,0.5,1,1,NA,4,NA,2,NA,10,4
1073,1002593,0.5,2,1,4,3,0.5,0.5,3,999,999,999,0.5,0.5,0.5,1,NA,4,NA,2,NA,10,4
3283,1001654,1,2,0.5,4,2,1,3,3,999,2,2,1,0.5,1.5,5,NA,1,NA,4,NA,120,2
2354,1002014,1,1.5,1.5,3,2,1,0.5,0.5,999,2,3,0.5,2,0.25,5,NA,4,NA,12,NA,40,4
3395,1000231,1.5,3,1.6,3.5,1,1,0.5,999,999,1,2,0.6,0.4,2,1,NA,4,NA,4,NA,60,6
1103,1001374,0.5,1.5,0.5,2,0.5,0.5,0.5,0.5,999,2,999,0.5,0.5,0.5,1,NA,4,NA,9,NA,3,4
2493,1001179,2,1,2,3.5,3.5,1,1,1,999,3,3,1.5,1.8,1.3,2,NA,2,NA,4,NA,15,4
710,1002284,1,4,1.5,4,4,0.5,4,0.5,4,3,3,4,3.5,4,3,NA,4,NA,6,NA,120,4
3925,1000355,1.5,3,3,4,3,0.5,0.5,3,999,999,999,1,1.5,0.5,1,NA,4,NA,4,NA,40,4
2793,1002262,1,0.7,2,2,0.5,0.5,3,3,999,3,3,3,1,1,2,NA,4,NA,1,NA,30,6
88,1002279,0.25,1,0.5,1,0.5,0.5,0.2,0.25,1,2,999,0.25,0.1,0.25,1,NA,4,NA,2,NA,7,2
2038,1000370,1,1,2,2,0.8,0.5,0.5,1,999,999,999,1.5,0.3,0.7,8,NA,2,NA,4,NA,2,2
1063,1001376,2,2.5,2,4.5,3,2.5,0.5,0.5,999,4,4,0.5,0.5,0.25,1,NA,2,NA,4,NA,20,4
595,1002669,0.5,2.5,1,3,2,0.4,2,1,999,1.5,1,1.5,0.3,0.4,1,NA,12,NA,13,Swamp,30,4
1327,1000542,2,1,2,2,3,0.5,0.5,3,999,999,999,1,2,0.5,5,NA,4,NA,2,NA,10,4
3518,1000141,1.5,1.5,1,4,2,0.5,0.5,0.5,999,2,2,1,0.5,0.5,5,NA,1,NA,4,NA,5,6
320,1002297,0.5,0.3,0.5,2.5,1,0.5,0.5,1.5,14,1.5,14,0.5,0.5,0.5,3,NA,3,NA,4,NA,5,7
594,1002676,0.5,2,1,3,3,1,0.5,0.6,999,2,2,1,0.3,1,1,NA,4,NA,2,NA,60,6
3923,1000174,1,2,2,1,4,0.5,0.3,999,999,9.3,9.3,2,0.2,1,1,NA,4,NA,2,NA,4,1
3282,1002018,0.5,1.5,0.5,2,1.5,0.5,3,3,999,1.5,1.5,0.5,0.4,1,1,NA,4,NA,4,NA,30,6
2495,1001616,0.5,1.5,1.5,2,1.5,0.5,0.5,0.5,999,2,999,0.5,0.5,1,8,NA,2,NA,2,NA,10,4
1686,1000781,0.5,2,2,2,2,0.3,2,2,999,3,3,2,0.3,2,2,NA,4,NA,1,NA,60,5
3516,1000358,1.5,5,1.5,3,0.5,2.5,0.5,999,999,999,999,1.5,0.5,1.5,5,NA,4,NA,4,NA,30,6
3272,1000323,1.5,2,2,4,1.5,2,1,1,999,3.5,4,1,1,0.5,5,NA,4,NA,2,NA,40,7
296,1002287,0.5,0.5,1,3,1,0.8,0.6,1,999,1,8,0.8,0.5,1,5,NA,2,NA,4,NA,5,4
946,4000946,3,5,3,9,3,3,3,3,5,6,9,9,3,6,5,NA,4,NA,4,NA,7,7
947,4000947,3,5,3,9,3,3,4,4,4,6,9,9,2,6,5,NA,4,NA,4,NA,10,7
523,4000523,0.5,5,0.5,10,0.5,0.5,0.5,0.5,999,10,999,10,0.5,0.5,2,NA,4,NA,9,NA,10,2
546,4000546,1,5,3,12,12,1,1,12,12,12,12,12,0.2,12,7,NA,4,NA,4,NA,30,1
119,4000119,1,5,1,1,0.5,0.5,0.5,3,3,0.5,0.5,0.5,0.5,0.5,2,NA,2,NA,5,NA,30,2
1837,4001837,0.1,5,4,8,4,0.1,0.1,0.1,999,8,999,8,2,2,1,NA,4,NA,9,NA,10,1
940,4000940,2,6,2,9,2,2,2,3,3,6,9,9,2,6,5,NA,4,NA,5,NA,22,6
535,4000535,2,4,2,2,2,2,4,4,4,4,2,2,2,2,5,NA,4,NA,2,NA,20,7
534,4000534,2,4,2,2,2,0.5,2,4,4,2,2,2,2,2,5,NA,4,NA,9,NA,20,1
960,4000960,2,6,2,9,2,0.5,2,4,4,6,9,9,2,6,5,NA,4,NA,9,NA,20,7
1651,4001651,4,7,6,10,6,4,5,7,10,6,10,10,4,6,5,NA,4,NA,3,NA,29,7
714,4000714,3,5,3,10,2,3,2,2,999,10,999,10,2,2,1,NA,4,NA,9,NA,20,4
120,4000120,1,5,1,1,0.5,0.5,1,3,3,999,999,0.5,0.5,0.5,2,NA,2,NA,2,NA,15,2
924,4000924,0.5,5,3,10,3,0.1,2,2,999,10,999,10,0.5,2,1,NA,4,NA,9,NA,20,6
1662,4001662,3,6,6,12,6,0.03,3,3,12,6,12,0.02,3,6,7,NA,4,NA,4,NA,10,7
532,4000532,1,6,2,2,2,2,4,4,4,2,2,1,2,1,5,NA,4,NA,9,NA,15,7
124,4000124,0.5,10,0.5,20,0.5,0.5,0.5,0.5,999,999,999,999,0.5,0.5,1,NA,4,NA,9,NA,20,2
1181,4001181,1,3,3,3,2,0.5,1.5,1.5,2,2,3,1,1,2,5,NA,4,NA,4,NA,20,7
514,4000514,0.5,5,0.5,10,0.5,0.5,0.5,0.5,999,999,999,10,0.5,0.5,1,NA,4,NA,9,NA,20,2
133,4000133,3,6,3,12,6,0.5,3,3,4,6,6,12,3,6,2,NA,2,NA,2,NA,5,2
543,4000543,4,14,4,18,4,1,6,4,4,7,12,12,4,12,1,NA,4,NA,4,NA,5,2
717,4000717,2,5,2,10,2,3,2,2,999,10,999,10,2,2,1,NA,4,NA,9,NA,20,6
2725,4002725,1,3,2,6,2,3,0.5,0.5,6,2,2,0.8,0.6,2,1,NA,4,NA,4,NA,4,7
965,4000965,2,6,3,9,3,1,4,4,5,6,9,9,9,9,5,NA,4,NA,4,NA,20,7
952,4000952,2,6,2,9,2,1,4,4,5,6,9,9,1,6,5,NA,4,NA,4,NA,6,7
1661,4001661,3,6,6,12,6,0.3,3,3,12,6,12,0.02,3,6,7,NA,4,NA,4,NA,20,7
1832,4001832,0.1,4,5,8,4,0.1,0.1,0.1,999,8,999,8,2,2,1,NA,4,NA,9,NA,10,2
2714,4002714,0.2,1,1,3,1,1,1,1,4,1,1,3,1,1,7,NA,4,NA,4,NA,4,7
518,4000518,0.5,5,0.5,10,0.5,0.5,0.5,0.5,999,10,999,10,0.5,0.5,1,NA,4,NA,9,NA,20,2
2130,4002130,1,5,1,8,1,0.1,1,1,999,8,999,8,1,1,1,NA,4,NA,9,NA,10,2
1658,4001658,3,6,6,12,6,0.01,3,3,12,6,12,0.03,3,6,8,NA,4,NA,4,NA,6,7
134,4000134,3,6,3,12,6,0.001,3,3,4,6,6,0.002,6,6,2,NA,2,NA,2,NA,2,2
2726,4002726,1,1,2,6,2,3,2,2,6,3,3,7,1,6,5,NA,4,NA,4,NA,20,7
1186,4001186,2,5,4,8,8,0.2,2,2,5,8,8,8,2,4,7,NA,4,NA,4,NA,60,2
1304,4001304,2,5,3,10,3,0.1,2,2,999,10,999,10,2,2,1,NA,4,NA,9,NA,10,6
1836,4001836,0.1,5,4,8,4,0.1,0.1,0.1,999,8,999,8,1,2,1,NA,4,NA,9,NA,10,2
528,4000528,1,6,2,2,2,2,4,4,4,2,2,2,2,2,5,NA,4,NA,9,NA,30,7
721,4000721,3,6,4,4,3,0.5,3,3,3,3,3,1,1,3,5,NA,4,NA,4,NA,20,7
516,4000516,0.5,5,0.5,10,0.5,0.5,0.5,0.5,999,10,999,10,0.5,0.5,1,NA,4,NA,11,NA,20,2
519,4000519,0.5,5,0.5,10,0.5,0.5,0.5,0.5,999,10,999,10,0.5,0.5,1,NA,4,NA,9,NA,10,2
1305,4001305,2,5,3,10,2,0.1,2,2,999,10,999,10,2,2,1,NA,4,NA,9,NA,10,2
521,4000521,0.5,5,0.5,10,0.5,0.5,0.5,0.5,999,10,999,10,0.5,0.5,5,NA,4,NA,9,NA,10,7
1663,4001663,2,6,3,3,2.5,0.5,2,2,2,3,3,8,1,3,5,NA,4,NA,4,NA,10,7
713,4000713,3,5,3,10,3,2,2,2,999,10,999,10,2,3,1,NA,4,NA,9,NA,20,2
716,4000716,2,5,3,10,2,3,2,2,999,10,999,10,2,2,1,NA,4,NA,9,NA,20,2
950,4000950,3,6,3,9,3,3,3,5,5,6,9,9,2,6,5,NA,4,NA,9,NA,15,7
2129,4002129,1,5,1,8,1,1,1,1,999,8,999,8,1,1,2,NA,4,NA,4,NA,10,5
549,4000549,1,5,4,12,12,2,2,12,12,12,12,12,0.2,4,7,NA,4,NA,4,NA,30,2
547,4000547,1,5,3,12,12,1,1,1,12,12,12,12,0.2,12,8,NA,4,NA,4,NA,30,2
