uhhidfs,uhhidp,c5_1,c5_2,c5_3,c5_4,c5_5,c5_6,c5_7,c5_8,c5_9,c5_10,c5_11,c5_12,c5_14,c5_15,c5_16,c6_1,c6_2,c6_3,c6_4,c6_5,c6_6,c6_7,c6_8,c6_9,c6_10,c6_11,c6_12,c6_13,c6_14,c6_15,c6_16,c6_17,c6_18,c7,c8,c8b
1582,1000658,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,0.2,0,1
1592,1003006,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,8,0,0,0,1,3,1,2,5,6,4,3,2
2777,1002337,6,1,0,0,0,0,1,0,0,0,0,0,2,3,0,4,1,0,0,1,0,1,0,0,0,0,0,5,4,1,2,2,4,5,3,1
1603,1000599,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
2369,1000018,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,3,0.3,0.25,1
2192,1000398,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,4,4,1.5,0.0025,1
1390,1002902,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3.9,1
1389,1001628,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0.9,0,1
2137,1000702,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,3,2,0.4,0.1,1
3247,1000085,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,4,1,1,0,4,0.25,0.125,2
1383,1003003,6,1,0,0,2,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,2,0,0,0,1,0,3,4,3,2,6,4,3,3,1
2388,1000034,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0.3,0,1
907,1001555,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0.05,0.04,1
3256,1000091,1,0,0,0,0,20,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,11,0,0,0,0,0,1,2,2,2,2,4,0.5,0.25,1
2779,1000749,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.187,0,1
2152,1002988,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,2,3,1,2,4,1.2525,1
2141,1000393,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,3,0.4,0.0025,1
2214,1001443,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,2,2,2,1
1597,1001930,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,3,2,1,5,6,8,4,1
2205,1001243,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,3,5,0.4,0.3,1
3255,1000090,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0.25,0,1
2422,1003024,5,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,5,7,3,1
3243,1001976,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,1,2,1.5,1
2367,1000016,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,3,2,0.2,0.2,1
2168,1003025,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,2,2,3,7,6,1
2154,1001233,1,1,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,3,4,0.4,0.075,1
870,1002655,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,5,4,1
2140,1000687,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0.4,0.092,1
588,1002341,1,1,0,0,0,2,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,1,3,6,3,1
2171,1002998,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,1,3,3,5,4,3,1
2368,1000020,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,5,0,0,2,3,0.3,0.3,1
1601,1001133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.4,0,1
2158,1001474,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0.025,0.01,2
2200,1002092,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,2,3,2,1.5,1
2175,1001238,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,5,0.4,0.2,1
2210,1003031,8,1,0,0,0,2,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,2,0,0,0,2,0,1,6,3,5,4,7,4,3.6,1
3238,1000387,3,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,4,1,1,4,4,3,2,1
1612,1001231,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,2,0.22,0.0125,1
871,1002654,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,5,5,4,1
2783,1001236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.01,2
2785,1001228,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0.22,0.0017,1
1588,1002352,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,6,1,1,5,6,4,4,1
2893,1000013,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0.002,0.002,1
2218,1000011,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,5,0.3,0.2,1
2215,1000021,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,2,2,0.4,0.4,1
2213,1003030,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,5,4,1
2212,1003029,2,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,3,1,0.8,1
3094,1002131,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,2,3,3,1
2904,1000079,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,5,0.3,0.25,1
2134,1003010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,6,3.25,1
2135,1003008,5,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,7,3.75,1
2136,1000701,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0.3,0.1,1
2174,1001241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,2,0.5,0.167,1
2209,1001245,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0.3,0.1,1
